SampleIndex,Voltage
0,0.0504227
1,0.149877
2,0.247834
3,0.343315
4,0.435365
5,0.523066
6,0.60554
7,0.681964
8,0.751573
9,0.813674
10,0.867644
11,0.912945
12,0.949125
13,0.975821
14,0.992766
15,0.999793
16,0.99683
17,0.983907
18,0.961153
19,0.928795
20,0.887158
21,0.836656
22,0.777794
23,0.711161
24,0.637423
25,0.557315
26,0.471639
27,0.38125
28,0.287053
29,0.189987
30,0.0910224
31,-0.00885131
32,-0.108637
33,-0.207336
34,-0.303965
35,-0.397556
36,-0.487175
37,-0.571926
38,-0.650962
39,-0.723495
